BSJKLM -- LOGIT FUNCTION SCALE PARAMETERS (UNITS BSJKLM=UNDIMENSIONED),,,,,,,,,,,,,,
Numbers for hydrogen fuel cells,,,,,,,,Residential,0.25,,,,,
INPUT_TABLE,,,,,,,,Industry,0.25,,,,,
Variable ID,,,,,,,,Transport,0.25,,,,,
108,,,,,,,,,,,,,,
,,BSJKLM,,,,,,,,,,,,
Fuel Num,1975,1990,2005,2020,2035,2050,2065,2080,2095,Fuel,REGION,SECTOR,sec#,reg#
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,USA,RES/COM,1,1
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,USA,INDUSTRY,2,1
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,USA,TRANSPORT,3,1
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,CANADA,RES/COM,1,2
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,CANADA,INDUSTRY,2,2
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,CANADA,TRANSPORT,3,2
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,WEUR,RES/COM,1,3
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,WEUR,INDUSTRY,2,3
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,WEUR,TRANSPORT,3,3
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,JAPAN,RES/COM,1,4
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,JAPAN,INDUSTRY,2,4
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,JAPAN,TRANSPORT,3,4
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,AUS&NZ,RES/COM,1,5
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,AUS&NZ,INDUSTRY,2,5
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,AUS&NZ,TRANSPORT,3,5
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,FSU,RES/COM,1,6
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,FSU,INDUSTRY,2,6
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,FSU,TRANSPORT,3,6
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,ACENP,RES/COM,1,7
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,ACENP,INDUSTRY,2,7
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,ACENP,TRANSPORT,3,7
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,MIDEAST,RES/COM,1,8
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,MIDEAST,INDUSTRY,2,8
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,MIDEAST,TRANSPORT,3,8
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,AFRICA,RES/COM,1,9
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,AFRICA,INDUSTRY,2,9
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,AFRICA,TRANSPORT,3,9
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,L AMER,RES/COM,1,10
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,L AMER,INDUSTRY,2,10
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,L AMER,TRANSPORT,3,10
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,S&E ASIA,RES/COM,1,11
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,S&E ASIA,INDUSTRY,2,11
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,S&E ASIA,TRANSPORT,3,11
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,EEUR,RES/COM,1,12
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,EEUR,INDUSTRY,2,12
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,EEUR,TRANSPORT,3,12
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,KOR,RES/COM,1,13
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,KOR,INDUSTRY,2,13
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,KOR,TRANSPORT,3,13
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,INDIA,RES/COM,1,14
5,0,0,0,0.05,0.09,0.13,0.17,0.21,0.25,H2,INDIA,INDUSTRY,2,14
5,0,0,0,0.05,0.106,0.162,0.218,0.274,0.33,H2,INDIA,TRANSPORT,3,14

EoF,,,,,,,,,,,,,,